obj_id,utc,ra,raerr,dec,decerr
1,2018-09-02T21:28:59.1,328.3160938006,0.0007521,-4.6167499003,0.00063164
1,2018-09-02T21:29:04.1,328.3371673451,0.0007518265,-4.6170388149,0.0006371711
1,2018-09-02T21:29:09.18000,328.358202071,0.000766401,-4.6174178598,0.0006476886
1,2018-09-02T21:29:35.5,328.4680231861,0.0008233176,-4.6168598881,0.0006398387
1,2018-09-02T21:29:40.5,328.4892977237,0.0008195714,-4.616613757,0.0006260822
1,2018-09-02T21:29:45.58000,328.5104605359,0.0007957314,-4.6167031608,0.0006070442
1,2018-09-02T21:30:11.7,328.6166869148,0.0009287567,-4.6167618901,0.0006683217
1,2018-09-02T21:30:16.7,328.6371128159,0.0009272142,-4.6173830415,0.0006828379
1,2018-09-02T21:30:21.78000,328.6576793614,0.0009290267,-4.6177610404,0.0006891608
1,2018-09-02T21:30:48.1,328.7709598627,0.0007266388,-4.6169347168,0.0006208655
1,2018-09-02T21:30:53.1,328.7920321986,0.0007262975,-4.6172806236,0.0006254423
1,2018-09-02T21:30:58.18000,328.8130844879,0.0007259378,-4.6176832981,0.0006302251
1,2018-09-02T21:31:24.3,328.922740648,0.0007227246,-4.6168473862,0.0005746253
1,2018-09-02T21:31:29.3,328.9439142537,0.0007233618,-4.6171238964,0.0005831739
1,2018-09-02T21:31:34.38000,328.9649070987,0.0007223508,-4.6175665861,0.0005934758
1,2018-09-02T21:32:00.6,329.0732130071,0.0007996599,-4.6169769167,0.000703376
1,2018-09-02T21:32:05.6,329.0941149182,0.0007992083,-4.6172353721,0.0007115968
1,2018-09-02T21:32:10.69000,329.1149785435,0.0007995259,-4.6174640908,0.0007265625
1,2018-09-02T21:32:36.7,329.2245897905,0.0007774968,-4.6168227478,0.000641622
1,2018-09-02T21:32:41.7,329.2456854883,0.0007766214,-4.6170879307,0.0006465566
1,2018-09-02T21:32:46.77000,329.2667553684,0.0007759482,-4.6174048316,0.0006519597
1,2018-09-02T21:33:12.9,329.3757434913,0.0006938967,-4.6172187047,0.0006343816
1,2018-09-02T21:33:17.9,329.3969001372,0.0006940029,-4.6176478995,0.000639553
1,2018-09-02T21:33:22.99000,329.4180436879,0.0006940629,-4.6181429997,0.000644911
1,2018-09-02T21:33:49.2,329.5280939415,0.0008136774,-4.6167084449,0.0006391701
1,2018-09-02T21:33:54.2,329.5493347184,0.0008134237,-4.6168796553,0.000642389
1,2018-09-02T21:33:59.28000,329.570570457,0.0007737722,-4.6170815447,0.0006011519
1,2018-09-02T21:34:25.4,329.67979624,0.0007816933,-4.6168171535,0.0006359677
1,2018-09-02T21:34:30.4,329.7012610679,0.000782064,-4.6170141397,0.0006384002
1,2018-09-02T21:34:35.47000,329.7229572826,0.0007255324,-4.6168818938,0.0006237928
1,2018-09-02T21:49:54.7,333.5589940032,0.0007805697,-4.6173248801,0.0006066717
1,2018-09-02T21:49:59.8,333.5804230667,0.0007801362,-4.6176333267,0.0006120447
1,2018-09-02T21:50:04.91900,333.6017989146,0.0007813679,-4.617857142,0.0006196868
1,2018-09-02T21:50:30.9,333.7107190007,0.0007768194,-4.6173562492,0.0006280726
1,2018-09-02T21:50:35.9,333.7317343079,0.0007796863,-4.6177257836,0.0006349458
1,2018-09-02T21:50:40.97000,333.7527571096,0.0007801768,-4.6181403267,0.0006411344
1,2018-09-02T21:51:07.4,333.8656692311,0.000609436,-4.6170536116,0.0006366328
1,2018-09-02T21:51:12.4,333.8867352023,0.0006092511,-4.6172679784,0.0006416829
1,2018-09-02T21:51:17.49000,333.9077796652,0.0006091095,-4.6175255961,0.0006469771
1,2018-09-02T21:51:43.4,334.0128216354,0.0008040333,-4.6175147632,0.0006424396
1,2018-09-02T21:51:48.4,334.033845875,0.0008034465,-4.6178822795,0.0006486751
1,2018-09-02T21:51:53.45000,334.0553782345,0.0008198897,-4.6177840429,0.0006400102
1,2018-09-02T21:52:19.6,334.1637672704,0.0006551354,-4.6169863406,0.0006062573
1,2018-09-02T21:52:24.6,334.1847627184,0.0006545566,-4.6170756884,0.0006117102
1,2018-09-02T21:52:29.68000,334.2057214265,0.0006605095,-4.6171622523,0.0005486281
1,2018-09-02T21:52:56.3,334.3179378502,0.0006286313,-4.6167969686,0.0005468278
1,2018-09-02T21:53:01.4,334.3392173803,0.0006286178,-4.6168492758,0.0005467922
1,2018-09-02T21:53:06.41000,334.3604943902,0.0006285938,-4.6168975739,0.0005467563
1,2018-09-02T21:53:32.4,334.4686408132,0.0007450469,-4.6174358417,0.0006304967
1,2018-09-02T21:53:37.4,334.489895637,0.000744589,-4.6175126229,0.0006368604
1,2018-09-02T21:53:42.49000,334.5112230857,0.0007285661,-4.6174831629,0.0005970907
1,2018-09-02T21:54:09.2,334.6221751927,0.000612345,-4.6166243365,0.0005514343
1,2018-09-02T21:54:14.2,334.6434140975,0.0006121516,-4.6167882727,0.0005521429
1,2018-09-02T21:54:19.29000,334.6646490423,0.0006119514,-4.6169725946,0.0005532861
1,2018-09-02T21:54:46.1,334.776199322,0.0006891793,-4.6169082376,0.0005354131
1,2018-09-02T21:54:51.1,334.7974390664,0.0006890442,-4.6169890348,0.0005353225
1,2018-09-02T21:54:56.18000,334.8186737426,0.0006889372,-4.6170676093,0.0005352329
